"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"MPU-6050-Module";1;"Conn_01x08_Male";;;
2;"J5,J13,J18,J15,J14";"JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical";5;"Conn_01x07_Male";;;
3;"J8,J3,J6";"XT30U-M-Horizontal";3;"Conn_01x02_Male";;;
4;"C11,C10,C8,C6,C4,C3,C2,C1";"C_0805_2012Metric";8;"0.1uF";;;
5;"C9,C7,C5";"CP_Elec_5x5.3";3;"27uF 16V";;;
6;"R1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
7;"J2";"JST_EH_B9B-EH-A_1x09_P2.50mm_Vertical";1;"Conn_01x09_Male";;;
8;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXB0108PWR";;;
9;"U2,U1";"SOIC-16_3.9x9.9mm_P1.27mm";2;"MCP3008-I_P";;;
10;"R10";"R_0805_2012Metric";1;"3k3";;;
11;"R9";"R_0805_2012Metric";1;"2k2";;;
12;"R8";"R_0805_2012Metric";1;"470";;;
13;"J7";"XT30U-F-Horizontal";1;"Conn_01x02_Female";;;
14;"J4,J10";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04_Male";;;
15;"D4,D3,D2";"D_0805_2012Metric";3;"LED";;;
16;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
17;"J17";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Male";;;
18;"FAN1";"25mm-FAN";1;"FAN";;;
19;"PWR1";"MP1584-Jacobs-Parts-Module";1;"MP1584_3V3Module";;;
20;"J9";"XT60-M";1;"Conn_01x02_Male";;;
21;"U4";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
22;"R7,R6,R5,R4";"R_0805_2012Metric";4;"10k";;;
23;"R3";"R_0805_2012Metric";1;"1.5k";;;
24;"R2";"R_0805_2012Metric";1;"4.7k";;;
25;"J16";"JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical";1;"Conn_01x06_Male";;;
26;"J12,J11";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03_Male";;;
27;"D1";"D_SOD-323_HandSoldering";1;"3V6";;;
28;"R11,R12";"R_0805_2012Metric";2;"4k7";;;
